unit_id,speed,date
16,42082.500000000000,2018-06-25 00:00:00
16,48787.368421052632,2018-07-02 00:00:00
16,41212.115942028986,2018-07-09 00:00:00
16,48719.793650793651,2018-07-16 00:00:00
16,38027.779411764706,2018-07-23 00:00:00
16,40258.513157894737,2018-07-30 00:00:00
16,49835.888888888889,2018-08-06 00:00:00
16,41295.653333333333,2018-08-13 00:00:00
16,46111.750000000000,2018-08-20 00:00:00
16,38736.770270270270,2018-08-27 00:00:00
16,46490.131578947368,2018-09-03 00:00:00
16,60607.283950617284,2018-09-10 00:00:00
16,47230.962025316456,2018-09-17 00:00:00
16,36970.066666666667,2018-09-24 00:00:00
373,15155920.111111111111,2018-06-25 00:00:00
373,15086024.307692307692,2018-07-02 00:00:00
373,14171856.809523809524,2018-07-09 00:00:00
373,14136442.880952380952,2018-07-16 00:00:00
373,13941593.928571428571,2018-07-23 00:00:00
373,14126848.833333333333,2018-07-30 00:00:00
373,14254915.761904761905,2018-08-06 00:00:00
373,12387201.000000000000,2018-08-13 00:00:00
373,13506754.380952380952,2018-08-20 00:00:00
373,12919970.023809523810,2018-08-27 00:00:00
373,12857545.357142857143,2018-09-03 00:00:00
373,14308121.500000000000,2018-09-10 00:00:00
373,12687240.155555555556,2018-09-17 00:00:00
373,13219972.909090909091,2018-09-24 00:00:00
380,14776321.142857142857,2018-06-25 00:00:00
380,13414147.243902439024,2018-07-02 00:00:00
380,13668223.029411764706,2018-07-09 00:00:00
382,258024.181818181818,2018-06-25 00:00:00
382,288103.048192771084,2018-07-02 00:00:00
382,268388.854838709677,2018-07-09 00:00:00
382,267396.941176470588,2018-07-16 00:00:00
382,244821.762711864407,2018-07-23 00:00:00
382,229791.643835616438,2018-07-30 00:00:00
382,250845.015384615385,2018-08-06 00:00:00
382,241817.269230769231,2018-08-13 00:00:00
382,282808.638888888889,2018-08-20 00:00:00
382,267405.742857142857,2018-08-27 00:00:00
382,278689.602941176471,2018-09-03 00:00:00
382,263983.910447761194,2018-09-10 00:00:00
382,264608.583333333333,2018-09-17 00:00:00
382,281536.833333333333,2018-09-24 00:00:00
386,21760915.636363636364,2018-06-25 00:00:00
386,21356055.635294117647,2018-07-02 00:00:00
386,22290546.411111111111,2018-07-09 00:00:00
386,21900103.747126436782,2018-07-16 00:00:00
386,22293806.528089887640,2018-07-23 00:00:00
386,20702538.049504950495,2018-07-30 00:00:00
386,19842461.193548387097,2018-08-06 00:00:00
386,22216187.734939759036,2018-08-13 00:00:00
386,21278966.555555555556,2018-08-20 00:00:00
386,20040374.000000000000,2018-08-27 00:00:00
386,20230231.783505154639,2018-09-03 00:00:00
386,21452153.397849462366,2018-09-10 00:00:00
386,21514099.494505494505,2018-09-17 00:00:00
386,21770835.595505617978,2018-09-24 00:00:00
390,7126429.466666666667,2018-06-25 00:00:00
390,7037278.868131868132,2018-07-02 00:00:00
390,7090484.614457831325,2018-07-09 00:00:00
390,7091170.541176470588,2018-07-16 00:00:00
390,6977535.721518987342,2018-07-23 00:00:00
390,7089744.753086419753,2018-07-30 00:00:00
390,7014623.630952380952,2018-08-06 00:00:00
390,6693483.141176470588,2018-08-13 00:00:00
390,6827809.686046511628,2018-08-20 00:00:00
390,7088687.341176470588,2018-08-27 00:00:00
390,7089060.238636363636,2018-09-03 00:00:00
390,7097628.904761904762,2018-09-10 00:00:00
390,7088916.845238095238,2018-09-17 00:00:00
390,6695262.546511627907,2018-09-24 00:00:00
396,7337120.466666666667,2018-06-25 00:00:00
396,6766884.010869565217,2018-07-02 00:00:00
396,6169216.464285714286,2018-07-09 00:00:00
396,6223855.345238095238,2018-07-16 00:00:00
396,6965762.000000000000,2018-07-23 00:00:00
396,6512810.821428571429,2018-07-30 00:00:00
396,6780815.047619047619,2018-08-06 00:00:00
396,7130071.857142857143,2018-08-13 00:00:00
396,6749886.678571428571,2018-08-20 00:00:00
396,6002952.607142857143,2018-08-27 00:00:00
396,6081154.542168674699,2018-09-03 00:00:00
396,6080752.833333333333,2018-09-10 00:00:00
396,6490663.500000000000,2018-09-17 00:00:00
396,5934007.302631578947,2018-09-24 00:00:00
409,701549.111111111111,2018-06-25 00:00:00
409,716332.327868852459,2018-07-02 00:00:00
409,724268.423076923077,2018-07-09 00:00:00
414,19580903.769230769231,2018-06-25 00:00:00
414,17603586.964705882353,2018-07-02 00:00:00
414,20407974.903614457831,2018-07-09 00:00:00
414,19407965.821428571429,2018-07-16 00:00:00
414,19694444.241379310345,2018-07-23 00:00:00
414,18461031.800000000000,2018-07-30 00:00:00
414,19668418.593023255814,2018-08-06 00:00:00
414,20206064.576470588235,2018-08-13 00:00:00
414,20181168.747126436782,2018-08-20 00:00:00
414,20414558.917647058824,2018-08-27 00:00:00
414,20267845.297619047619,2018-09-03 00:00:00
414,20697221.941176470588,2018-09-10 00:00:00
414,20665047.804597701149,2018-09-17 00:00:00
414,20532069.325581395349,2018-09-24 00:00:00
422,17745285.642857142857,2018-06-25 00:00:00
422,17157898.451923076923,2018-07-02 00:00:00
422,14965438.230000000000,2018-07-09 00:00:00
422,15447120.686274509804,2018-07-16 00:00:00
422,16294768.750000000000,2018-07-23 00:00:00
422,16487351.613861386139,2018-07-30 00:00:00
422,15898088.818181818182,2018-08-06 00:00:00
422,16130328.455445544554,2018-08-13 00:00:00
422,16509941.194174757282,2018-08-20 00:00:00
422,16396913.552380952381,2018-08-27 00:00:00
422,15910310.807692307692,2018-09-03 00:00:00
422,15532412.881188118812,2018-09-10 00:00:00
422,15873203.237623762376,2018-09-17 00:00:00
