unit_id,speed,date
16,43775.543973941368,2018-07-01 00:00:00
16,43713.783625730994,2018-08-01 00:00:00
16,48198.511041009464,2018-09-01 00:00:00
373,14394790.261306532663,2018-07-01 00:00:00
373,13334454.284946236559,2018-08-01 00:00:00
373,13331794.167567567568,2018-09-01 00:00:00
380,13635778.878048780488,2018-07-01 00:00:00
382,266790.500000000000,2018-07-01 00:00:00
382,254931.516778523490,2018-08-01 00:00:00
382,272738.434931506849,2018-09-01 00:00:00
386,21949116.231362467866,2018-07-01 00:00:00
386,20735302.527363184080,2018-08-01 00:00:00
386,21185018.911392405063,2018-09-01 00:00:00
390,7056797.464000000000,2018-07-01 00:00:00
390,6923309.181333333333,2018-08-01 00:00:00
390,6996468.374316939891,2018-09-01 00:00:00
396,6580347.230366492147,2018-07-01 00:00:00
396,6678690.045698924731,2018-08-01 00:00:00
396,6131537.145299145299,2018-09-01 00:00:00
409,717095.760416666667,2018-07-01 00:00:00
414,19235382.473404255319,2018-07-01 00:00:00
414,19822035.539473684211,2018-08-01 00:00:00
414,20541238.775956284153,2018-09-01 00:00:00
422,16061122.251111111111,2018-07-01 00:00:00
422,16269093.282850779510,2018-08-01 00:00:00
422,15915747.496583143508,2018-09-01 00:00:00
426,11356174.101398601399,2018-07-01 00:00:00
431,9648765.719072164948,2018-07-01 00:00:00
431,9705823.518817204301,2018-08-01 00:00:00
431,9179968.389534883721,2018-09-01 00:00:00
437,8772906.932754880694,2018-07-01 00:00:00
437,8716920.291304347826,2018-08-01 00:00:00
437,8763589.610599078341,2018-09-01 00:00:00
447,7079000.591145833333,2018-07-01 00:00:00
447,6963469.388571428571,2018-08-01 00:00:00
447,6897029.342507645260,2018-09-01 00:00:00
458,15220305.432000000000,2018-07-01 00:00:00
458,20495308.712365591398,2018-08-01 00:00:00
458,20662610.345403899721,2018-09-01 00:00:00
462,9843054.207885304659,2018-07-01 00:00:00
462,10089394.151515151515,2018-08-01 00:00:00
463,14037794.190348525469,2018-07-01 00:00:00
